Factor,Correlation,P-Value,Data Points,PDF
2-Year Treasury Yield,-0.010554669863154727,0.7348623241623166,1032,BTC_Factor_Reports\BTC_vs_2-Year_Treasury_Yield.pdf
10-Year Treasury Yield,-0.027716855834038254,0.3737403052575415,1032,BTC_Factor_Reports\BTC_vs_10-Year_Treasury_Yield.pdf
